2020-12-03 00:28:26.560 [http-nio-8001-exec-3] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.ArticlePortalServiceImpl.queryIndexArticleList====
2020-12-03 00:28:26.568 [http-nio-8001-exec-3] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：8
2020-12-03 00:28:29.715 [http-nio-8001-exec-4] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.ArticlePortalServiceImpl.queryDetail====
2020-12-03 00:28:29.732 [http-nio-8001-exec-4] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：17
2020-12-03 00:28:33.941 [http-nio-8001-exec-9] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.ArticlePortalServiceImpl.queryIndexArticleList====
2020-12-03 00:28:33.943 [http-nio-8001-exec-10] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.ArticlePortalServiceImpl.queryHotList====
2020-12-03 00:28:33.957 [http-nio-8001-exec-10] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：14
2020-12-03 00:28:33.960 [http-nio-8001-exec-9] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：18
2020-12-03 00:28:36.082 [http-nio-8001-exec-8] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.ArticlePortalServiceImpl.queryDetail====
2020-12-03 00:28:36.092 [http-nio-8001-exec-8] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：10
2020-12-03 00:28:38.553 [http-nio-8001-exec-5] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.ArticlePortalServiceImpl.queryIndexArticleList====
2020-12-03 00:28:38.556 [http-nio-8001-exec-4] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.ArticlePortalServiceImpl.queryHotList====
2020-12-03 00:28:38.564 [http-nio-8001-exec-5] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：11
2020-12-03 00:28:38.571 [http-nio-8001-exec-4] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：15
2020-12-03 00:28:40.594 [http-nio-8001-exec-7] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.ArticlePortalServiceImpl.queryDetail====
2020-12-03 00:28:40.599 [http-nio-8001-exec-7] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：5
