2020-11-30 00:06:14.225 [http-nio-8004-exec-1] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：36
2020-11-30 00:06:37.243 [http-nio-8004-exec-4] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.UploaderServiceImpl.readInGridFS====
2020-11-30 00:06:37.258 [http-nio-8004-exec-4] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：15
2020-11-30 00:06:54.752 [http-nio-8004-exec-8] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.UploaderServiceImpl.uploadToGridFS====
2020-11-30 00:06:54.765 [http-nio-8004-exec-8] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：13
2020-11-30 00:06:57.966 [http-nio-8004-exec-9] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.UploaderServiceImpl.readInGridFS====
2020-11-30 00:06:58.030 [http-nio-8004-exec-9] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：64
2020-11-30 00:07:11.980 [http-nio-8004-exec-2] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.UploaderServiceImpl.readFace64InGridFS====
2020-11-30 00:07:11.991 [http-nio-8004-exec-2] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：11
2020-11-30 00:07:46.736 [http-nio-8004-exec-4] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.UploaderServiceImpl.readFace64InGridFS====
2020-11-30 00:07:46.749 [http-nio-8004-exec-4] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：13
2020-11-30 00:08:23.761 [http-nio-8004-exec-6] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.UploaderServiceImpl.readFace64InGridFS====
2020-11-30 00:08:23.787 [http-nio-8004-exec-6] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：25
2020-11-30 00:09:26.832 [http-nio-8004-exec-5] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.UploaderServiceImpl.readFace64InGridFS====
2020-11-30 00:09:26.843 [http-nio-8004-exec-5] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：10
2020-11-30 00:10:00.620 [http-nio-8004-exec-8] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.UploaderServiceImpl.readFace64InGridFS====
2020-11-30 00:10:00.630 [http-nio-8004-exec-8] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：10
2020-11-30 00:16:00.973 [http-nio-8004-exec-9] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.UploaderServiceImpl.readFace64InGridFS====
2020-11-30 00:16:00.987 [http-nio-8004-exec-9] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：14
2020-11-30 00:20:03.272 [http-nio-8004-exec-1] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.UploaderServiceImpl.readFace64InGridFS====
2020-11-30 00:20:03.286 [http-nio-8004-exec-1] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：14
2020-11-30 00:23:40.418 [http-nio-8004-exec-4] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.UploaderServiceImpl.readFace64InGridFS====
2020-11-30 00:23:40.438 [http-nio-8004-exec-4] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：20
2020-11-30 00:27:04.229 [http-nio-8004-exec-3] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.UploaderServiceImpl.readFace64InGridFS====
2020-11-30 00:27:04.253 [http-nio-8004-exec-3] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：23
2020-11-30 14:41:53.128 [main] INFO  com.ltz.news.FilesApplication - No active profile set, falling back to default profiles: default
2020-11-30 14:41:55.924 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-11-30 14:41:55.926 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2020-11-30 14:41:56.109 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 169ms. Found 0 MongoDB repository interfaces.
2020-11-30 14:41:56.143 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
