2020-12-19 23:29:09.744 [main] INFO  com.ltz.news.ArticleApplication - No active profile set, falling back to default profiles: default
2020-12-19 23:29:12.225 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-12-19 23:29:12.227 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2020-12-19 23:29:12.322 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 87ms. Found 0 MongoDB repository interfaces.
2020-12-19 23:29:12.339 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-12-19 23:29:12.341 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-12-19 23:29:12.407 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 52ms. Found 0 Redis repository interfaces.
2020-12-19 23:29:12.746 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.ltz.news]' package. Please check your configuration.
2020-12-19 23:29:12.884 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=82d30d90-8695-39a1-b2a4-c99f961e33a3
2020-12-19 23:29:14.231 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2020-12-19 23:29:14.250 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2020-12-19 23:29:14.251 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2020-12-19 23:29:14.251 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-12-19 23:29:14.594 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-12-19 23:29:14.594 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4820 ms
2020-12-19 23:29:19.292 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-12-19 23:29:19.905 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-12-19 23:29:19.936 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-12-19 23:29:19.936 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-12-19 23:29:19.943 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-12-19 23:29:19.943 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-12-19 23:29:20.127 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-12-19 23:29:20.346 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear tk.mybatis.mapper.util.MsUtil CLASS_CACHE cache.
2020-12-19 23:29:20.348 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear tk.mybatis.mapper.genid.GenIdUtil CACHE cache.
2020-12-19 23:29:20.349 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear tk.mybatis.mapper.version.VersionUtil CACHE cache.
2020-12-19 23:29:20.349 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear EntityHelper entityTableMap cache.
2020-12-19 23:29:21.291 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2020-12-19 23:29:21.321 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-12-19 23:29:21.390 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
2020-12-19 23:29:21.659 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: createArticleUsingPOST_1
2020-12-19 23:29:21.660 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: deleteUsingPOST_1
2020-12-19 23:29:21.662 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: listUsingGET_1
2020-12-19 23:29:21.689 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8001"]
2020-12-19 23:29:21.725 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8001 (http) with context path ''
2020-12-19 23:29:23.392 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-12-19 23:29:23.397 [main] INFO  com.ltz.news.ArticleApplication - Started ArticleApplication in 18.823 seconds (JVM running for 21.156)
2020-12-19 23:29:46.991 [main] INFO  com.ltz.news.ArticleApplication - No active profile set, falling back to default profiles: default
2020-12-19 23:29:48.496 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-12-19 23:29:48.497 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2020-12-19 23:29:48.588 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 84ms. Found 0 MongoDB repository interfaces.
2020-12-19 23:29:48.604 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
