2020-12-02 23:01:20.567 [main] INFO  com.ltz.news.FilesApplication - No active profile set, falling back to default profiles: default
2020-12-02 23:01:24.551 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-12-02 23:01:24.553 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2020-12-02 23:01:24.832 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 258ms. Found 0 MongoDB repository interfaces.
2020-12-02 23:01:24.902 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-12-02 23:01:24.909 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-12-02 23:01:25.114 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 125ms. Found 0 Redis repository interfaces.
2020-12-02 23:01:25.856 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=1d9536d9-6a4c-309b-9a3a-74797089f240
2020-12-02 23:01:27.324 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8004 (http)
2020-12-02 23:01:27.362 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8004"]
2020-12-02 23:01:27.363 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2020-12-02 23:01:27.364 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-12-02 23:01:28.036 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-12-02 23:01:28.036 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 7432 ms
2020-12-02 23:01:31.473 [main] INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[127.0.0.1:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2020-12-02 23:01:31.617 [cluster-ClusterId{value='5fc80ebbdec95d24d804a965', description='null'}-127.0.0.1:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:2}] to 127.0.0.1:27017
2020-12-02 23:01:31.630 [cluster-ClusterId{value='5fc80ebbdec95d24d804a965', description='null'}-127.0.0.1:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=127.0.0.1:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[4, 2, 6]}, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=7527400}
2020-12-02 23:01:33.399 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-12-02 23:01:33.473 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-12-02 23:01:33.474 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-12-02 23:01:33.495 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-12-02 23:01:33.496 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-12-02 23:01:33.970 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-12-02 23:01:37.609 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-12-02 23:01:37.920 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2020-12-02 23:01:37.957 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-12-02 23:01:38.061 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
2020-12-02 23:01:38.326 [main] WARN  s.d.s.w.r.p.ParameterDataTypeReader - Trying to infer dataType org.springframework.web.multipart.MultipartFile[]
2020-12-02 23:01:38.406 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8004"]
2020-12-02 23:01:38.471 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8004 (http) with context path ''
2020-12-02 23:01:40.903 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-12-02 23:01:40.906 [main] INFO  com.ltz.news.FilesApplication - Started FilesApplication in 30.007 seconds (JVM running for 38.271)
